NAME_1,NAME_2,NAME_3,yr2014,yr2022,yr2023,eq_mi
Chaouia - Ouardigha,Ben Slimane,Ben Slimane,5.055547714233398,9.269449234008789,16.13314642404255,4.6
Chaouia - Ouardigha,Ben Slimane,Bouznika,8.783105850219727,18.49851417541504,26.476574257800454,4.4
Chaouia - Ouardigha,Ben Slimane,NA (Ben Slimane),3.3412299156188965,7.545558929443359,13.322789876549331,4.2
Chaouia - Ouardigha,Ben Slimane,NA (Bouznika),50.05915832519531,89.13353729248047,84.09635860041568,NA
Chaouia - Ouardigha,Khouribga,Bejaad,2.1222405433654785,2.6823668479919434,5.813999853636089,4.2
Chaouia - Ouardigha,Khouribga,Khouribga,16.392566680908203,22.944135665893555,26.12548698981603,4.4
Chaouia - Ouardigha,Khouribga,NA (Bejaad),33.489654541015625,56.10862350463867,49.674430161714554,4.2
Chaouia - Ouardigha,Khouribga,NA (Boujniba),4.548705577850342,8.385538101196289,16.73870708096412,4
Chaouia - Ouardigha,Khouribga,NA (Hattane),0.4739270508289337,0.009274556301534176,7.849825552754825,4
Chaouia - Ouardigha,Khouribga,NA (Khouribga),47.89207077026367,103.0951919555664,144.88113651275634,4
Chaouia - Ouardigha,Khouribga,NA (Ouad Zem),8.942304611206055,13.44491195678711,22.652887777848676,4
Chaouia - Ouardigha,Khouribga,Ouad Zem,3.3666419982910156,4.159088611602783,7.972979487599553,4.2
Chaouia - Ouardigha,Settat,Ben Ahmed,2.8816816806793213,3.6093063354492188,8.690035173767491,4.4
Chaouia - Ouardigha,Settat,Berrechid,11.620614051818848,19.771446228027344,29.16517732017919,4.6
Chaouia - Ouardigha,Settat,El Borouj,0.8078922033309937,1.345534324645996,5.542909267701601,5
Chaouia - Ouardigha,Settat,El Gara,6.47252082824707,12.903240203857422,23.22965147688582,4.6
Chaouia - Ouardigha,Settat,NA (Ben Ahmed),7.344748497009277,10.056825637817383,14.256044640260583,4.2
Chaouia - Ouardigha,Settat,NA (Berrechid),453.9186706542969,629.95001220703125,609.1617835549747,4.6
Chaouia - Ouardigha,Settat,NA (El Borouj),0,0,4.161536699894703,4.4
Chaouia - Ouardigha,Settat,NA (El Gara),0,0.12561672925949097,6.649734766252579,4
Chaouia - Ouardigha,Settat,NA (Loulad),3.135207176208496,8.398063659667969,11.843714157740274,4.2
Chaouia - Ouardigha,Settat,NA (Oulad Abbou),25.7858943939209,29.089086532592773,38.115434392293295,4.2
Chaouia - Ouardigha,Settat,NA (Oulad M'Rah),20.385169982910156,26.64654541015625,35.626712278886274,4.2
Chaouia - Ouardigha,Settat,NA (Settat),143.91427612304688,252.9652557373047,242.0640926361084,4.8
Chaouia - Ouardigha,Settat,Settat,3.642876148223877,5.8992767333984375,12.291249212465788,4.8
Doukkala - Abda,El Jadida,Azemmour,6.284536838531494,9.530526161193848,19.37428046527662,4
Doukkala - Abda,El Jadida,El Jadida,9.913846969604492,22.469629287719727,49.439620105843794,4.8
Doukkala - Abda,El Jadida,NA (Azemmour),100.62584686279297,143.8551788330078,106.59335912240518,3.8
Doukkala - Abda,El Jadida,NA (El Jadida),345.2275390625,447.8423767089844,502.1389440917969,3.8
Doukkala - Abda,El Jadida,NA (Lbir Jdid),163.23675537109375,215.1335906982422,256.44940221877323,3.6
Doukkala - Abda,El Jadida,NA (Sidi Bennour),75.41028594970703,148.44850158691406,138.55930943324648,5
Doukkala - Abda,El Jadida,NA (Zemamra),4.723104953765869,7.775010108947754,17.169663732702084,4.8
Doukkala - Abda,El Jadida,Sidi Bennou,0.9953991174697876,2.287308692932129,7.226609775894566,5.6
Doukkala - Abda,El Jadida,Sidi Smail,1.1391016244888306,2.1053333282470703,7.150832477368806,4.6
Doukkala - Abda,El Jadida,Zemamra,2.7135260105133057,3.945568799972534,15.268032406505787,5
Doukkala - Abda,Safi,Abda,0.4346969723701477,0.9690963625907898,5.514678851554268,5.6
Doukkala - Abda,Safi,Ahmar,3.083361864089966,3.8377411365509033,7.2773011503992855,6.4
Doukkala - Abda,Safi,Gzoula,4.811851978302002,6.988173961639404,11.47135013028195,5.8
Doukkala - Abda,Safi,Hrara,1.2026596069335938,2.2609636783599854,8.919987298940358,5.4
Doukkala - Abda,Safi,NA (Asfi Biyada),211.02703857421875,305.210693359375,274.5916738510132,5.2
Doukkala - Abda,Safi,NA (Asfi Boudheb),458.18927001953125,537.54351806640625,541.8816252677672,5.4
Doukkala - Abda,Safi,NA (Asfi Zaouia),383.1278991699219,515.2789306640625,553.9559335708618,5.4
Doukkala - Abda,Safi,NA (Echemmaia),14.231335639953613,29.038848876953125,29.12603540981517,5.6
Doukkala - Abda,Safi,NA (Jamaat Shaim),8.567865371704102,16.687471389770508,25.211481189727788,5.2
Doukkala - Abda,Safi,NA (Sebt Gzoula),0.5420584678649902,1.4593993425369263,10.402037208144728,5.4
Doukkala - Abda,Safi,NA (Youssoufia),0.6870628595352173,0.7886296510696411,6.604849511757493,5.6
Fès - Boulemane,Boulemane,Boulemane,0.2557491064071655,0.3629506230354309,3.3902148507736825,3.4
Fès - Boulemane,Boulemane,Missour,1.369253158569336,1.6676914691925049,5.088160814465703,NA
Fès - Boulemane,Boulemane,NA (Boulemane),4.8195271492004395,7.120946884155273,11.013058841228485,NA
Fès - Boulemane,Boulemane,NA (Imouzzer Marmoucha),6.152645111083984,13.014370918273926,14.028415456414223,NA
Fès - Boulemane,Boulemane,NA (Missour),0.8131842017173767,1.2478969097137451,5.965895252697396,NA
Fès - Boulemane,Boulemane,NA (Outat El Haj),35.095726013183594,68.29352569580078,55.47838367115367,NA
Fès - Boulemane,Boulemane,Outat El Ha,0.2197994440793991,0.37488502264022827,3.4791396115277267,NA
Fès - Boulemane,Fès,NA (Agdal),454.1932373046875,558.69085693359375,542.2165344238281,NA
Fès - Boulemane,Fès,NA (Fes Medina),318.6921691894531,403.70135498046875,363.5541745462725,NA
Fès - Boulemane,Fès,NA (Machouar Fes El Jadid),688.18145751953125,755.4287109375,642.2560099283854,NA
Fès - Boulemane,Fès,NA (Saiss),492.953857421875,578.244140625,603.1291356580011,NA
Fès - Boulemane,Fès,Oulad Tayeb,34.04507827758789,61.52058792114258,69.43416704851039,NA
Fès - Boulemane,Fès,Sans nom,6.599492073059082,12.482011795043945,19.753899068543404,NA
Fès - Boulemane,Sefrou,El Menzel,0.7697363495826721,1.2933701276779175,5.467011366341565,NA
Fès - Boulemane,Sefrou,Imouzzer Ka,8.695340156555176,12.488136291503906,16.06968429353502,3.4
Fès - Boulemane,Sefrou,NA (Bhalil),84.2371826171875,87.53490447998047,91.38680957158407,NA
Fès - Boulemane,Sefrou,NA (El Menzel),72.881805419921875,70.3598861694336,56.644347017461605,NA
Fès - Boulemane,Sefrou,NA (Imouzzer Kandar),32.183258056640625,51.66191864013672,47.801076114177704,NA
Fès - Boulemane,Sefrou,NA (Ribate El Kheir),8.550492286682129,16.887371063232422,25.38031921667211,NA
Fès - Boulemane,Sefrou,NA (Sefrou),220.96963500976562,254.0402374267578,244.47497379779816,NA
Fès - Boulemane,Sefrou,Sefrou,2.6100447177886963,3.231790065765381,7.6704344088966785,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,Moulay Yaco,14.859378814697266,27.65570640563965,28.054912025864063,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,NA (Moulay Yacoub),29.508169174194336,30.80190086364746,26.84763591520248,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,NA (Zouagha),411.51361083984375,540.4449462890625,484.1435380415483,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,Oulad Jemaa,0.885482907295227,1.5932775735855103,6.310183040193609,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Kenitra Ban,8.883648872375488,12.836411476135254,17.628843139957738,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Kenitra Maamoura),306.0057373046875,291.5066833496094,284.7804802403306,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Kenitra Saknia),143.3348388671875,172.94906616210938,161.77955461950864,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Mehdia),10.544527053833008,10.443764686584473,18.175815154524408,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Sidi Slimane),0.27971360087394714,0.6277123689651489,6.646035158272946,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Sidi Yahya El Gharb),2.4028983116149902,0.5429388880729675,7.634506609290838,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Souk Arbaa),47.56333923339844,56.89841079711914,60.956424140930174,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Sidi Sliman,5.968175411224365,6.3242621421813965,12.23796236192858,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Souk Arbaa,3.8609442710876465,5.343375205993652,10.04962025748359,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Souk Tlat E,2.74314284324646,4.8566484451293945,9.818858401195422,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,Had Kourt,1.7911734580993652,2.5454835891723633,7.314777863653083,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,Mechra Belk,3.8669538497924805,4.952903747558594,10.61447657765569,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Dar Gueddari),0.30264830589294434,0.16973769664764404,6.698278467995779,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Had Kourt),5.537960529327393,14.486613273620605,20.330371720450266,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Jorf El Melha),7.757582664489746,10.449699401855469,16.836319109972784,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Mechraa Bel Ksiri),0.2028971165418625,0.1421506106853485,5.72626933184537,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Ouezzane),12.42080020904541,14.045079231262207,19.596623143729044,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,NA (Sidi Kacem),4.251458644866943,7.60880708694458,13.452818758347455,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,Ouezzane,3.1196587085723877,5.651214599609375,10.15108981885408,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,Sidi Kacem,6.845707893371582,8.020927429199219,12.058541854222616,NA
Grand Casablanca,Casablanca,Bouskoura,83.98389434814453,153.02674865722656,178.8245620727539,4.4
Grand Casablanca,Casablanca,Mediouna,64.57743835449219,116.75921630859375,147.3300786859849,4.6
Grand Casablanca,Casablanca,NA (Ahl Laghlam),196.2113037109375,335.2777404785156,397.2362233037534,4.6
Grand Casablanca,Casablanca,NA (Ain Chock),446.5611267089844,594.9364013671875,584.5433932217685,4.4
Grand Casablanca,Casablanca,NA (Ain Harrouda),182.56558227539062,247.76614379882812,293.86545493386006,4.4
Grand Casablanca,Casablanca,NA (Ain Sebaa),595.059814453125,684.93646240234375,749.9942862770774,4.4
Grand Casablanca,Casablanca,NA (Al Fida),806.6707763671875,1006.1937255859375,922.0489723899148,4.2
Grand Casablanca,Casablanca,NA (Al Idrissia),800.83209228515625,975.271728515625,947.41558837890625,4.2
Grand Casablanca,Casablanca,NA (Anfa),585.92041015625,546.81866455078125,548.7585794200068,4.4
Grand Casablanca,Casablanca,NA (Assoukhour Assawda),781.2374267578125,920.7674560546875,929.7950911088424,4.4
Grand Casablanca,Casablanca,NA (Ben Msick),795.53326416015625,1026.4320068359375,946.4805011749268,4.4
Grand Casablanca,Casablanca,NA (Bou Chentouf),806.99371337890625,998.5518798828125,947.5748818137429,4.4
Grand Casablanca,Casablanca,NA (El Maarif),647.33056640625,712.74591064453125,697.3491723632812,4.4
Grand Casablanca,Casablanca,NA (Hay Hassani),607.666015625,624.031982421875,625.4919030761719,4.4
Grand Casablanca,Casablanca,NA (Hay Mohammadi),747.59307861328125,858.251708984375,843.974687056108,4.2
Grand Casablanca,Casablanca,NA (Lissasfa),463.8641662597656,512.7484130859375,548.3835876464843,4.2
Grand Casablanca,Casablanca,NA (Machouar Casablanca),915.40850830078125,1017.4766845703125,968.1595597700639,4.4
Grand Casablanca,Casablanca,NA (Mediouna),97.69921112060547,227.33441162109375,254.28930085280845,3.6
Grand Casablanca,Casablanca,NA (Mers Sultan),801.14715576171875,889.85845947265625,894.2955433238636,4.4
Grand Casablanca,Casablanca,NA (Moulay Rachid),745.93621826171875,989.97894287109375,854.3978042602539,4.4
Grand Casablanca,Casablanca,NA (Moulay Youssef),897.77386474609375,843.8048095703125,854.5769449869791,4.4
Grand Casablanca,Casablanca,NA (Nouaceur),171.4986114501953,227.69839477539062,256.28298580285275,4.4
Grand Casablanca,Casablanca,NA (Salmia),108.91520690917969,145.95606994628906,214.66358423233032,4.2
Grand Casablanca,Casablanca,NA (Sbata),347.51312255859375,459.6334533691406,505.8161106109619,4.2
Grand Casablanca,Casablanca,NA (Sidi Belyout),1059.257568359375,1015.4725952148438,1039.6258341471355,4.4
Grand Casablanca,Casablanca,NA (Sidi Bernoussi),597.3865966796875,732.6810302734375,790.7321856954824,4.4
Grand Casablanca,Casablanca,NA (Sidi Maarouf),215.87969970703125,326.4303283691406,330.41475577976394,4.2
Grand Casablanca,Casablanca,NA (Sidi Moumen),645.964599609375,765.05999755859375,743.0587504993786,4.6
Grand Casablanca,Casablanca,NA (Sidi Othmane),605.20587158203125,870.17138671875,756.4786405563354,4.2
Grand Casablanca,Casablanca,NA (Tit Mellil),238.52882385253906,384.7216491699219,317.90631914138794,4.8
Grand Casablanca,Casablanca,Tit Mellil,33.539241790771484,83.09362030029297,121.41100978851318,4.8
Grand Casablanca,Mohammedia,NA (Mohammedia),388.67205810546875,452.78216552734375,466.80472932038487,4.2
Guelmim - Es-Semara,Assa-Zag,Assa,0.28808584809303284,0.6243593692779541,3.7079905569553375,4
Guelmim - Es-Semara,Assa-Zag,NA (Assa),0,0,3.54931910187006,3.8
Guelmim - Es-Semara,Assa-Zag,NA (Zag),0.05008086934685707,0.09298336505889893,3.2725006255664324,4
Guelmim - Es-Semara,Assa-Zag,Zag,0,1.500377693446353e-4,3.2641762553861264,3.8
Guelmim - Es-Semara,Guelmim,Bouizakarne,0.5321145057678223,0.7363016605377197,4.298797714082818,4
Guelmim - Es-Semara,Guelmim,Guelmim,1.0267107486724854,1.3461335897445679,5.491121298388431,3.8
Guelmim - Es-Semara,Guelmim,NA (Bouizakarne),0.20257171988487244,4.427873611450195,9.864738674724803,3.8
Guelmim - Es-Semara,Guelmim,NA (Guelmim),3.0120291709899902,4.302898406982422,14.46956181526184,3.6
Guelmim - Es-Semara,Tan-Tan,Msied,0.03527577966451645,0.05150708183646202,3.576081881397649,3.8
Guelmim - Es-Semara,Tan-Tan,NA (El Ouatia),15.849053382873535,25.30009651184082,22.374459581340062,3.4
Guelmim - Es-Semara,Tan-Tan,NA (Tan-Tan),0,0,4.370444483616772,3.4
Guelmim - Es-Semara,Tan-Tan,Tan-Tan,0.6262350678443909,0.791324257850647,4.42678439617157,3.4
Guelmim - Es-Semara,Tata,Akka,0.04437820240855217,0.06946074217557907,3.142922015566575,4.6
Guelmim - Es-Semara,Tata,Foum Zguid,0.02565808780491352,0.047825783491134644,3.134590787662042,4.8
Guelmim - Es-Semara,Tata,NA (Akka),2.757882833480835,6.86974573135376,7.223474423090616,4.2
Guelmim - Es-Semara,Tata,NA (Fam El Hisn),0.4988875687122345,0.8044795989990234,4.1742551531642675,4.2
Guelmim - Es-Semara,Tata,NA (Foum Zguid),0.0016572258900851011,0.07027395814657211,3.195067330681044,4.2
Guelmim - Es-Semara,Tata,NA (Tata),11.300045013427734,15.573601722717285,13.898911266615897,4.6
Guelmim - Es-Semara,Tata,Tata,0.009690757840871811,0.028615882620215416,3.0712576632044817,5
Laâyoune - Boujdour - Sakia El H,Laâyoune,Tarfaya,0.21945159137248993,0.2880544662475586,7.639542418557246,NA
Marrakech - Tensift - Al Haouz,Al Haouz,Ait Ourir,0.8681079745292664,1.4116090536117554,5.650860445366965,7.2
Marrakech - Tensift - Al Haouz,Al Haouz,Amizmiz,1.108109712600708,1.12705659866333,4.800891641308279,8.4
Marrakech - Tensift - Al Haouz,Al Haouz,Asni,0.16811175644397736,0.17838913202285767,3.3224249846405454,8.6
Marrakech - Tensift - Al Haouz,Al Haouz,NA (Ait Ourir),49.75016403198242,68.76514434814453,54.56520026524861,6.2
Marrakech - Tensift - Al Haouz,Al Haouz,Tahannaout,3.1728532314300537,3.1469717025756836,6.971169191248277,7.6
Marrakech - Tensift - Al Haouz,Chichaoua,Chichaoua,1.3383073806762695,1.8919260501861572,5.792508937810597,8
Marrakech - Tensift - Al Haouz,Chichaoua,Imintanoute,0.4807283580303192,0.5452591776847839,4.2756127589627315,7.6
Marrakech - Tensift - Al Haouz,Chichaoua,Majjat,0.36803126335144043,0.48088863492012024,4.268287726574474,8.4
Marrakech - Tensift - Al Haouz,Chichaoua,Mtouga,0.48707297444343567,0.5169928073883057,4.29079839744066,7
Marrakech - Tensift - Al Haouz,Chichaoua,NA (Chichaoua),16.419551849365234,27.226512908935547,29.94100468086474,6.4
Marrakech - Tensift - Al Haouz,Chichaoua,NA (Imintanoute),37.7715950012207,37.957515716552734,39.693812131881714,7
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,El Kelaa Sr,2.4733643531799316,3.2750296592712402,6.885297549398322,6.4
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Laattaouia,3.1160595417022705,3.6727147102355957,7.318027595678965,6.6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Ben Guerir),1.065382957458496,2.3313076496124268,9.113468420120977,5
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Kelaat Sraghna),383.0251159667969,318.0020751953125,318.59381675720215,6.4
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Laataouia),2.628178119659424,2.5423498153686523,7.659772511571646,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Sidi Rahhal),5.761785507202148,7.138786315917969,10.242234645351287,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,NA (Tamallalt),1.958833932876587,3.0592901706695557,6.267533516511321,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Rehamna,3.0279741287231445,4.572180271148682,9.129388602156387,6
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,Sidi Bou Ot,1.4917792081832886,2.4011411666870117,6.639392084545559,6.6
Marrakech - Tensift - Al Haouz,Essaouira,Essaouira,0.6749202013015747,0.6951927542686462,4.399231201724002,6
Marrakech - Tensift - Al Haouz,Essaouira,NA (Ait Daoud),5.591460227966309,6.0515971183776855,9.989985458991107,5.2
Marrakech - Tensift - Al Haouz,Essaouira,NA (El Hanchane),0.49816805124282837,0.11181288212537766,4.290064048022032,4.8
Marrakech - Tensift - Al Haouz,Essaouira,NA (Essaouira),93.6104736328125,79.61015319824219,43.179502899582324,5.4
Marrakech - Tensift - Al Haouz,Essaouira,NA (Talmest),0.81626129150390625,0.561802864074707,4.611007713609272,4.6
Marrakech - Tensift - Al Haouz,Essaouira,NA (Tamanar),19.16080665588379,13.855302810668945,24.841076446302008,4.8
Marrakech - Tensift - Al Haouz,Essaouira,Tamanar,0.52723228931427,0.7110157012939453,4.212039480083867,5.6
Marrakech - Tensift - Al Haouz,Marrakech,Bour,7.322807788848877,10.715093612670898,14.425612122671945,6.8
Marrakech - Tensift - Al Haouz,Marrakech,Loudaya,15.076104164123535,16.556339263916016,22.90411284310477,7.2
Marrakech - Tensift - Al Haouz,Marrakech,NA (Annakhil),107.40991973876953,93.9010009765625,101.60795759385631,6.8
Marrakech - Tensift - Al Haouz,Marrakech,NA (Machouar Kasba),190.32493591308594,226.16445922851562,233.27070852426382,6.4
Marrakech - Tensift - Al Haouz,Marrakech,NA (Marrakech Medina),470.2358093261719,376.1849060058594,397.3760962853065,6.6
Marrakech - Tensift - Al Haouz,Marrakech,NA (Menara Gueliz),422.425048828125,350.28546142578125,334.99683053152904,6.6
Marrakech - Tensift - Al Haouz,Marrakech,NA (Sidi Youssef Ben Ali),97.54566955566406,140.5907745361328,145.77905301694517,6.6
Meknès - Tafilalet,El Hajeb,Agourai,1.0061289072036743,1.9440938234329224,6.0838588978114885,3.8
Meknès - Tafilalet,El Hajeb,Ain Taoujda,7.523634910583496,9.04847526550293,15.276655042493665,3.6
Meknès - Tafilalet,El Hajeb,El Hajeb,4.171461582183838,7.029959201812744,13.392792626431113,3.8
Meknès - Tafilalet,El Hajeb,NA (Agourai),36.7348518371582,51.347965240478516,45.739797704360065,3.6
Meknès - Tafilalet,El Hajeb,NA (Ain Taoujdate),42.66679000854492,27.630199432373047,30.756241910597858,NA
Meknès - Tafilalet,El Hajeb,NA (El Hajeb),1.7814109325408936,2.967324733734131,11.630465805530548,NA
Meknès - Tafilalet,El Hajeb,NA (Sbaa Aiyoun),20.96514129638672,18.549537658691406,25.579156766619,NA
Meknès - Tafilalet,Errachidia,Arfoud,0.500025749206543,0.5204561352729797,4.05042586828533,4
Meknès - Tafilalet,Errachidia,Assoul,0.013215436600148678,0.05426907166838646,3.216302704569456,3.8
Meknès - Tafilalet,Errachidia,Errachidia,1.2110899686813354,1.666828989982605,4.790200710296631,NA
Meknès - Tafilalet,Errachidia,Errich,0.35520437359809875,0.4890143573284149,3.532766696569082,NA
Meknès - Tafilalet,Errachidia,Errissani,0.020763929933309555,0.045723799616098404,3.4473217396359694,4
Meknès - Tafilalet,Errachidia,Goulmima,0.6068999171257019,0.697174072265625,3.9251696225759147,4
Meknès - Tafilalet,Errachidia,Imilchil,0.012196451425552368,0.18220169842243195,3.2078391619630766,3.8
Meknès - Tafilalet,Errachidia,NA (Arfoud),0.8978461027145386,2.064483880996704,6.351715634850895,NA
Meknès - Tafilalet,Errachidia,NA (Boudnib),0.6992818713188171,1.2018769979476929,4.779052429729038,NA
Meknès - Tafilalet,Errachidia,NA (Errachidia),6.648003578186035,13.737918853759766,18.01339315599011,NA
Meknès - Tafilalet,Errachidia,NA (Errich),0.3528813123703003,0.5992215275764465,4.252475622200197,NA
Meknès - Tafilalet,Errachidia,NA (Goulmima),3.5178463459014893,2.7998316287994385,5.9047475948053245,3.8
Meknès - Tafilalet,Errachidia,NA (Jorf),0.5910081267356873,0.6020404100418091,4.685050339409799,NA
